"","class","SOD1_N","APP_N","pPKCG_N","pERK_N","pCAMKII_N","CaNA_N","Tau_N","pP70S6_N","pNUMB_N","BRAF_N","Ubiquitin_N","AKT_N","S6_N","AcetylH3K9_N"
"292","c-SC-m",0.603355821,0.313267601,1.515214385,0.336446981,4.167099118,1.163785154,0.182687875,0.362912991,0.315343366,0.243902439,1.376901798,0.715793115,0.310972799,0.116528354
"295","c-SC-m",0.543667297,0.284120983,1.669826001,0.315689981,3.442155009,1.331730089,0.205686802,0.295463138,0.281285444,0.244234405,1.395812703,0.661058601,0.338661763,0.12095063
"296","c-SC-m",0.614212108,0.321811936,1.631300473,0.324602834,3.901889223,1.275132275,0.201475912,0.331043366,0.322885359,0.274151997,1.418685603,0.742164019,0.337231969,0.122110833
"298","c-SC-m",0.630352166,0.322016722,1.606230032,0.313655941,3.43628072,1.400758786,0.19149361,0.332151001,0.306308589,0.291867241,1.451677316,0.712946542,0.317691693,0.113817891
"301","c-CS-s",0.387873384,0.455639768,1.661612515,0.914578689,4.163798484,1.399614922,0.194368231,0.331341953,0.416228266,0.500222916,1.105222623,0.777084262,0.428592058,0.31566787
"306","c-CS-s",0.404730928,0.460910704,1.989199029,0.843287995,4.806978119,1.32032767,0.166868932,0.482791248,0.462093436,0.478888232,1.075546117,0.774807806,0.340109223,0.303944175
"307","c-CS-s",0.363972361,0.395629118,2.169068204,0.637473887,4.127109111,1.387826391,0.166361017,0.598103808,0.39225454,0.443515989,1.014234565,0.653704001,0.347043926,0.338398393
"309","c-CS-s",0.405121248,0.449381041,2.151489859,0.715448533,4.481939969,1.261413905,0.161589183,0.717144311,0.460742751,0.451585552,1.023537267,0.722570799,0.294967031,0.285535431
"310","c-CS-s",0.369005236,0.415287958,2.462309779,0.729424084,3.866806283,1.392473753,0.170933113,0.451937173,0.429109948,0.466596859,1.213400967,0.657591623,0.355078448,0.331839094
"315","c-CS-s",0.376867594,0.414477074,2.668791614,0.639876352,3.687789799,1.202861595,0.161495963,0.600463679,0.44384338,0.471406491,1.185295368,0.673364245,0.292109364,0.255418615
"317","c-CS-s",0.352573018,0.424895688,1.679637656,0.521905424,3.541550765,1.843909804,0.269517362,0.323365786,0.440716273,0.352746871,1.202990308,0.820671071,0.512686894,0.353431062
"319","c-CS-s",0.323006243,0.383201791,1.974494123,0.430203793,3.230415832,1.763358779,0.239912759,0.480150783,0.405348098,0.318294263,1.146431601,0.725409353,0.480370774,0.349327517
"321","c-CS-s",0.343481375,0.404847182,1.897875058,0.436962751,3.271489971,1.707094752,0.233917789,0.558500478,0.449379179,0.317215855,1.106072922,0.673591213,0.409777055,0.318625174
"323","c-CS-s",0.344949272,0.387884135,2.062910368,0.419791207,2.959123658,1.733852497,0.198579936,0.505072783,0.433759741,0.322011469,1.13963964,0.695338921,0.399526645,0.298900596
"324","c-CS-s",0.325116686,0.382292882,2.09241288,0.414089848,2.995186698,1.601308631,0.192177621,0.521732789,0.431592765,0.310822637,1.055580062,0.663506418,0.351051316,0.279370681
"326","c-CS-s",0.283821478,0.348849372,2.124963014,0.391562064,2.34832636,1.81605681,0.174080284,0.352336123,0.346582985,0.322524407,1.260676595,0.569735007,0.437123977,0.298155637
"329","c-CS-s",0.291858038,0.35782881,2.111944523,0.427348643,2.34091858,1.743136145,0.170110388,0.349478079,0.366388309,0.334446764,1.172940843,0.608768267,0.411406736,0.275969431
"330","c-CS-s",0.300020691,0.360645562,2.100185264,0.40306228,2.344506518,1.763146644,0.159897392,0.343058142,0.368508173,0.345954893,1.139803335,0.626319056,0.412141941,0.278466581
"331","c-CS-s",0.312594382,0.39695963,2.07845453,0.572032619,2.851203061,1.604071762,0.169675496,0.392127253,0.326386792,0.382563173,0.950284011,0.503976644,0.487092964,0.170744053
"332","c-CS-s",0.308365662,0.389237044,1.956188022,0.540535164,2.79528499,1.56109586,0.164939212,0.396697503,0.331841241,0.375808216,0.974676452,0.534268378,0.464563841,0.167852541
"335","c-CS-s",0.313257724,0.385738496,2.166768432,0.487811237,2.756876548,1.520531217,0.151885208,0.612436449,0.336331639,0.349889193,0.967714853,0.548168427,0.434895436,0.16112044
"339","c-CS-s",0.309566059,0.370704952,2.467143141,0.464429747,2.488143249,1.421580306,0.170438753,0.728020648,0.336505888,0.374737861,0.996823506,0.071140507,0.368572563,0.149692277
"340","c-CS-s",0.34977662,0.37714073,2.645190445,0.575577066,2.644080417,1.469076824,0.155584248,0.656180194,0.347356664,0.409903202,1.048676566,0.574087863,0.37908328,0.148482892
"341","c-CS-s",0.351950019,0.397008709,2.606393733,0.606399091,2.717531238,1.395628001,0.154536265,0.686293071,0.357251041,0.423892465,1.015921152,0.594282469,0.362901188,0.14114228
"344","c-CS-s",0.420974889,0.395020046,2.745233399,0.594851234,2.757965816,1.362426036,0.154832347,0.754378561,0.387423507,0.449672927,1.123931624,0.343321376,0.3578238,0.136587771
"350","c-CS-s",0.297756278,0.379888843,1.624062945,0.52562783,3.44195142,1.810544576,0.140140016,0.255969535,0.339645945,0.288184438,1.043181959,0.476842322,0.347252339,0.134378291
"351","c-CS-s",0.297146402,0.379755997,1.58618798,0.529776675,3.479942101,1.741375107,0.154455687,0.261993383,0.347084367,0.281120761,1.020480312,0.473738627,0.35468731,0.132329635
"352","c-CS-s",0.284657569,0.366917485,1.895635981,0.426476215,3.324575947,1.760424257,0.147113594,0.373931896,0.336309144,0.236194363,1.055865922,0.410661905,0.305562303,0.127358109
"353","c-CS-s",0.27206437,0.364722152,1.854991634,0.4204174,3.25257732,1.838180225,0.143335192,0.368745285,0.330274076,0.23183304,1.019440682,0.437767161,0.314795634,0.125408334
"355","c-CS-s",0.26100015,0.33833909,1.895954921,0.445562397,2.71842619,1.683336687,0.1311129,0.297341943,0.334584772,0.226009911,1.006339304,0.429944436,0.290601731,0.113704971
"357","c-CS-s",0.262719429,0.337250818,1.887024273,0.440642666,2.687146683,1.585256218,0.14853661,0.289645939,0.318208866,0.226271943,1.002697033,0.436477239,0.307561682,0.119468585
"359","c-CS-s",0.261940299,0.31380597,1.905619335,0.389365672,2.266977612,1.42223565,0.130876133,0.361567164,0.3125,0.204477612,0.933534743,0.364552239,0.281087613,0.105981873
"361","c-CS-s",0.353081019,0.450171168,1.335637651,3.289273488,3.153290224,2.009125097,0.357150758,0.24524534,0.386268543,2.133415747,1.08776684,0.912609357,0.442373631,0.147494746
"363","c-CS-s",0.341449866,0.436626238,1.243907818,2.91639663,3.019442644,2.051218436,0.360403573,0.243681141,0.395796685,1.940375891,0.876667769,0.887788168,0.450490683,0.141746609
"364","c-CS-s",0.334985134,0.420837463,1.458986175,2.806863231,3.133052527,1.9707905,0.330237504,0.32185332,0.368434093,1.823711596,0.887132223,0.766848365,0.388231124,0.133073378
"370","c-CS-s",0.347344207,0.407988289,1.477476504,2.570054371,2.852990381,1.558172194,0.160959274,0.378920954,0.377457131,1.881639481,0.877930215,0.696361355,0.276331425,0.100464513
"371","c-CS-s",0.321727019,0.368682849,1.543677391,2.533824115,2.633306805,1.672922252,0.177949062,0.359530442,0.356545961,1.590529248,0.885835567,0.655590927,0.316689008,0.110813226
"372","c-CS-s",0.323238321,0.374505146,1.578832703,2.441607284,2.62925574,1.742002064,0.190230478,0.337688044,0.392319873,1.768804434,0.914230019,0.681314331,0.338722624,0.114780415
"373","c-CS-s",0.34885896,0.44332211,1.551221666,3.566685372,2.104470632,1.52708272,0.168383868,0.200523756,0.401047512,1.999251777,1.018840153,0.897399925,0.279805711,0.096114218
"374","c-CS-s",0.341451902,0.446332484,1.612579359,0.687529501,2.105446993,1.665583936,0.170677691,0.209477957,0.404984424,2.088832248,0.971209213,0.888322477,0.305625277,0.111619666
"376","c-CS-s",0.403299973,0.543413579,0.636889909,1.240059508,2.877332973,1.363659048,0.204261902,0.246821747,0.631052204,0.661617528,0.832118974,1.182174736,0.356971754,0.101557042
"381","c-CS-s",0.342089188,0.442883323,0.680375229,0.950061087,2.795204643,1.42505608,0.19951057,0.221136225,0.546579108,0.519700672,1.007545374,0.933567502,0.446060771,0.085106383
"384","c-CS-s",0.340406239,0.405150526,0.680589681,0.808668843,2.514145811,1.335708436,0.170679771,0.205839681,0.51577802,0.417301415,0.975429975,0.768770403,0.412776413,0.075921376
"386","c-CS-s",0.217120181,0.263321995,0.642005003,0.445011338,1.369897959,1.082836252,0.13642486,0.152069161,0.348922902,0.243764172,0.897729459,0.439484127,0.338175871,0.076197806
"387","c-CS-s",0.32972973,0.364324324,0.667836727,0.666810811,2.119567568,1.148931903,0.151740046,0.232216216,0.540108108,0.374702703,0.948350216,0.708108108,0.389028182,0.07852773
"388","c-CS-s",0.320021299,0.42971246,0.669309762,0.687699681,1.865814696,1.004549591,0.150656441,0.253194888,0.581469649,0.395633653,1.002079813,0.685569755,0.245157936,0.087612115
"389","c-CS-s",0.273110175,0.303923742,0.648606203,0.566614941,1.527155841,1.069362649,0.159141474,0.22367546,0.459543339,0.312347595,1.048684727,0.567501663,0.320115168,0.077345897
"391","c-CS-s",0.373847775,0.458124835,1.245095989,0.884777456,2.522978667,2.077083943,0.181479777,0.231301027,0.412496708,0.332565183,1.216612991,0.923623914,0.739386842,0.109373039
"394","c-CS-s",0.309048762,0.381322957,1.651199412,0.681182217,2.901564699,2.068762795,0.176421185,0.204569915,0.361702128,0.270138256,1.307700383,0.773491183,0.608891922,0.102514304
"396","c-CS-s",0.27017673,0.345581738,1.586130875,0.594992636,2.576362297,2.01583325,0.171660487,0.179013255,0.315463918,0.237923417,1.222767812,0.683726068,0.613087484,0.097204129
"397","c-CS-s",0.284963622,0.352869846,2.070927514,0.550727567,2.74242118,2.103875859,0.160419471,0.205133387,0.343371059,0.235953921,1.247573159,0.647433306,0.48685609,0.095018777
"399","c-CS-s",0.268529412,0.336862745,1.925605302,0.54,2.623333333,2.067361017,0.164412282,0.185490196,0.310294118,0.228431373,1.198701474,0.63254902,0.492154741,0.087785743
"400","c-CS-s",0.265509924,0.312070903,2.096985342,0.501685183,2.369991262,2.059279063,0.155803448,0.209836475,0.32517788,0.224815878,1.104360653,0.57046561,0.407393749,0.09818383
"401","c-CS-s",0.252488152,0.302606635,2.096131088,0.468009479,2.252132701,1.94583523,0.154119254,0.181279621,0.308886256,0.233175355,1.131543013,0.54028436,0.418297679,0.080018207
"403","c-CS-s",0.25980688,0.308539529,2.132292616,0.532136391,1.997585999,1.901663628,0.142092069,0.200211225,0.310500905,0.244870247,1.084206928,0.581019916,0.372151322,0.075205105
"404","c-CS-s",0.242136167,0.292604502,2.143397091,0.473507619,1.840626311,1.903447486,0.150269156,0.174332448,0.282259192,0.252201873,1.130798305,0.551936251,0.396518154,0.076623525
"407","c-CS-s",0.327262736,0.421383154,2.059918021,0.670146793,3.136823927,1.756827707,0.1663059,0.266347437,0.438181961,0.398382919,1.129001059,0.859565115,0.745820476,0.164601851
"409","c-CS-s",0.293577982,0.375249302,2.285291762,0.563023534,2.954527323,1.864933144,0.15718775,0.33416434,0.402373355,0.348025529,1.098034383,0.726465895,0.613839423,0.150902705
"411","c-CS-s",0.288948201,0.378706999,2.342442624,0.542111507,2.949485963,1.856356701,0.172722156,0.299822064,0.384539344,0.357354686,1.096116566,0.712336892,0.617159652,0.156087799
"412","c-CS-s",0.276129678,0.36575291,2.218503633,0.485041933,2.671423207,1.805765961,0.148168187,0.399424208,0.391037677,0.333959194,1.191296955,0.626361247,0.545988561,0.138120266
"413","c-CS-s",0.275624462,0.352159468,2.231778656,0.468807678,2.651531931,1.842608696,0.148221344,0.385628153,0.356712194,0.293097084,1.112648221,0.617940199,0.562924901,0.142608696
"414","c-CS-s",0.281058328,0.336019242,2.271953081,0.463619964,2.611665664,1.888487186,0.148549851,0.368490679,0.355862898,0.302345159,1.082108139,0.625496091,0.545352294,0.143006347
"417","c-CS-s",0.270028346,0.310905565,2.26121909,0.421900642,2.131433686,1.735219294,0.150300193,0.422795763,0.351931971,0.282112487,1.106136155,0.537371326,0.51124453,0.134629083
"424","c-CS-s",0.362799263,0.408379374,0.940346936,0.735957643,4.184162063,1.452389866,0.152502184,0.252071823,0.491712707,0.495626151,1.115063023,0.752762431,0.621739673,0.107325596
"425","c-CS-s",0.33957159,0.402931229,0.980769231,0.708455468,4.057722661,1.49535364,0.152297367,0.227508455,0.484780158,0.481397971,1.033815178,0.729425028,0.643520909,0.112028911
"427","c-CS-s",0.348869277,0.370656371,0.97841484,0.645890789,3.89547711,1.413659359,0.142158516,0.246001103,0.444015444,0.477937121,1.103035413,0.688086045,0.603878583,0.103878583
"428","c-CS-s",0.351432469,0.367803547,1.041352725,0.632742156,3.862755798,1.527948134,0.150867356,0.236016371,0.443110505,0.473124147,1.188890836,0.664120055,0.621692658,0.10793762
"429","c-CS-s",0.357001972,0.376725838,0.957876712,0.645533953,3.978303748,1.433219178,0.144178082,0.234432234,0.466046774,0.489151874,1.111986301,0.695688926,0.605136986,0.099315068
"430","c-CS-s",0.451154529,0.48348135,0.968837914,0.597158082,3.818117229,1.428478684,0.139580177,0.251154529,0.482060391,0.556660746,1.197576282,0.637300178,0.590564813,0.093702662
"431","c-CS-s",0.443364611,0.529490617,0.971334792,0.559316354,3.700737265,1.43107221,0.144201313,0.27077748,0.464142091,0.452412869,1.196280088,0.608914209,0.577899344,0.1
"432","c-CS-s",0.401455026,0.493386243,0.947368421,0.538359788,3.588624339,1.367338098,0.146848603,0.254960317,0.447751323,0.455687831,1.18128655,0.618716931,0.595841455,0.089885207
"433","c-CS-s",0.415283674,0.452720957,1.020640144,0.504052489,3.19143188,1.421178582,0.154352378,0.252412196,0.438826708,0.535700502,1.33413102,0.578155152,0.586598863,0.0975172
"436","c-SC-s",0.920550038,0.382734912,1.576342548,0.340106952,4.218640183,0.959882428,0.170320941,0.454392666,0.295187166,0.260962567,1.325627582,0.854392666,0.289799809,0.154273912
"437","c-SC-s",0.921803826,0.381415123,1.56658151,0.333282721,4.25933799,0.934615999,0.1782692,0.448527179,0.303674461,0.249013058,1.376017883,0.84649256,0.301213476,0.153840013
"438","c-SC-s",0.939522869,0.391125969,1.5802937,0.332624221,4.226105455,0.870124743,0.173456498,0.464367117,0.315605531,0.254368637,1.450971104,0.850022793,0.291883783,0.158850466
"439","c-SC-s",0.885652253,0.378867378,1.485143739,0.330920934,3.950606115,1.000482346,0.185220915,0.448163561,0.288945178,0.260358241,1.224773297,0.768952415,0.264036272,0.146054409
"445","c-SC-s",0.789333333,0.377866667,1.316857189,0.308266667,3.238133333,0.993720818,0.174529061,0.499466667,0.317333333,0.2824,1.260666559,0.832,0.222186443,0.129447754
"446","c-SC-s",0.784121083,0.387944769,1.356652292,0.3181094,3.212161445,0.980674014,0.177128254,0.533457249,0.314126394,0.272172066,1.309535218,0.821295805,0.223287015,0.129052867
"448","c-SC-s",0.735399674,0.378140294,1.218259895,0.300489396,2.825774878,0.903472741,0.155526512,0.534094617,0.339641109,0.279934747,1.20631068,0.738009788,0.186893204,0.110716953
"454","c-SC-s",0.937778416,0.405086938,1.492524256,0.399913781,4.163241845,1.270876412,0.170908223,0.389280069,0.315849978,0.284092542,1.34340703,0.912631125,0.316923811,0.068315572
"455","c-SC-s",0.980409357,0.41871345,1.528286789,0.404093567,4.10745614,1.299591902,0.172201328,0.368274854,0.323391813,0.284064327,1.359286229,0.919298246,0.322557414,0.070736977
"459","c-SC-s",0.855428162,0.381762809,1.453024319,0.337513436,3.666965245,1.317605487,0.165142382,0.347903977,0.293264063,0.286993909,1.358449387,0.899677535,0.292039077,0.066722095
"461","c-SC-s",0.735438447,0.3275016,1.386038031,0.312566674,3.256880734,1.393592081,0.166970565,0.317473864,0.276509494,0.295924899,1.412998177,0.803285684,0.286793436,0.06655379
"462","c-SC-s",0.733948894,0.341421516,1.429331603,0.326819841,3.292033498,1.342245295,0.158857884,0.337126906,0.283873738,0.291818767,1.290071382,0.837234271,0.280467229,0.066580143
"464","c-SC-s",0.865810675,0.344914401,1.495464659,0.331822759,3.301359517,1.42683553,0.161389697,0.337613293,0.289274924,0.315458207,1.429573849,0.850704935,0.280164299,0.060585316
"465","c-SC-s",0.831805796,0.32821402,1.440596606,0.331681942,3.250185782,1.438539345,0.174867135,0.340847164,0.283131038,0.363140946,1.443339619,0.830319544,0.268986799,0.063775073
"467","c-SC-s",1.075686537,0.400267917,1.366758961,0.449698593,3.41232418,1.089650528,0.206839781,0.347756196,0.302210315,0.335565975,1.346329417,0.818754186,0.368854299,0.101174886
"474","c-SC-s",0.872440945,0.342125984,1.354486661,0.407480315,2.807283465,1.156965777,0.206009162,0.318110236,0.277165354,0.338582677,1.316760981,0.784448819,0.298302344,0.086230127
"475","c-SC-s",0.891154791,0.360687961,1.316484969,0.418673219,2.657985258,1.259828213,0.193756194,0.346191646,0.286977887,0.371007371,1.379088206,0.795331695,0.295176743,0.06987116
"478","c-SC-s",0.973329338,0.351513335,1.319478403,0.441414444,2.556188193,1.297473513,0.189079055,0.358405754,0.302367396,0.415043452,1.321312143,0.851962841,0.270171149,0.063569682
"479","c-SC-s",1.023084026,0.382887042,1.347006422,0.465989535,2.653431825,1.302050963,0.18873006,0.370575562,0.305324715,0.412434595,1.340169878,0.806709757,0.288170706,0.073337477
"480","c-SC-s",0.974702381,0.333035714,1.328985507,0.468154762,2.586607143,1.300828157,0.196273292,0.358333333,0.29702381,0.424404762,1.3,0.805654762,0.283229814,0.072256729
"482","c-SC-s",1.286291851,0.373847126,1.220304291,0.327858497,3.422362603,1.101112097,0.169748243,0.338850284,0.299178774,0.239418825,1.273862318,0.809981049,0.33581224,0.129357986
"483","c-SC-s",1.300561431,0.392218305,1.253875969,0.343386865,3.609740175,1.083817829,0.176218162,0.3300692,0.306959133,0.256691474,1.276924142,0.864864865,0.350290698,0.128875969
"485","c-SC-s",1.094617652,0.357375523,1.185599567,0.327284008,3.253451218,1.177479022,0.172065325,0.335349775,0.286800062,0.222584148,1.329423441,0.758647433,0.317693765,0.126048904
"486","c-SC-s",1.115732656,0.379584061,1.172856118,0.326401016,3.228131449,1.172317905,0.178417653,0.327194793,0.296237498,0.260200032,1.31063868,0.798539451,0.297362756,0.127915321
"489","c-SC-s",1.106769826,0.367117988,1.184656146,0.326112186,3.10967118,1.194562838,0.179817993,0.349516441,0.286847195,0.255705996,1.324156203,0.810638298,0.285911761,0.11035595
"492","c-SC-s",1.023874488,0.372442019,1.174625038,0.321964529,2.833105957,1.20661157,0.183042547,0.3526603,0.305138699,0.261482492,1.296602388,0.716007276,0.275176002,0.111111111
"494","c-SC-s",0.844929397,0.358151476,1.149032137,0.303465982,2.299101412,1.210486751,0.160496147,0.32169448,0.277278562,0.298074454,1.293741778,0.640308087,0.22476978,0.102800226
"496","c-SC-s",1.395618865,0.377064879,1.161428571,0.345223845,3.553028489,0.967012987,0.175584416,0.344625329,0.27747187,0.24922193,1.175,0.845942064,0.367337662,0.131363636
"497","c-SC-s",1.393444577,0.373778308,1.146174075,0.349821216,3.551489869,0.924187031,0.169585017,0.358998808,0.281644815,0.253277712,1.21069848,0.809296782,0.343723943,0.131293695
"498","c-SC-s",1.432929782,0.377723971,1.153280908,0.352663438,3.638861985,0.909887843,0.177065876,0.363680387,0.286561743,0.254842615,1.199883976,0.806900726,0.34833054,0.130849555
"502","c-SC-s",0.995874439,0.346547085,1.00369155,0.319282511,2.81058296,0.914581624,0.162223134,0.353004484,0.278026906,0.249147982,1.035787531,0.728251121,0.263330599,0.123359311
"503","c-SC-s",1.012787724,0.350018268,0.986309644,0.321702594,2.917610522,0.893597745,0.163478961,0.386554622,0.279503106,0.245341615,1.065331186,0.767994154,0.268673243,0.108516207
"504","c-SC-s",1.016891892,0.34014936,1.00688592,0.315611664,2.829480797,0.89352518,0.165262076,0.35455192,0.27027027,0.238975818,1.082322713,0.771870555,0.275950668,0.10647482
"505","c-SC-s",0.942020202,0.344848485,1.000646162,0.296767677,2.612121212,0.931119152,0.181571465,0.380808081,0.267272727,0.238383838,1.1106229,0.708888889,0.296071336,0.110235203
"507","c-SC-s",0.962032945,0.340297308,1.000384172,0.310164725,2.627159502,0.913305161,0.180688949,0.389714745,0.270188831,0.242065086,1.136637213,0.718963439,0.264054296,0.110129338
"508","c-SC-s",0.849325726,0.330653527,0.992286596,0.288122407,2.207209544,0.904696606,0.170209119,0.405082988,0.294605809,0.254927386,1.107302023,0.746109959,0.246143298,0.096331848
"510","c-SC-s",0.857438017,0.338584711,0.9633606,0.293904959,2.262913223,0.898773006,0.182344922,0.42071281,0.279958678,0.238894628,1.141104294,0.75464876,0.263974097,0.105316973
"511","c-SC-s",1.248601932,0.392730046,1.368164999,0.353711235,3.186070158,1.22125531,0.153076607,0.370869344,0.300076258,0.270589731,1.252021379,0.849008643,0.346032616,0.073043717
"514","c-SC-s",1.00368,0.36384,1.259832366,0.30656,2.8872,1.284056369,0.144699272,0.35776,0.27952,0.31296,1.279819471,0.8088,0.319333149,0.066869301
"521","c-SC-s",0.852616757,0.32785731,1.266822703,0.307439568,2.536728467,1.31816852,0.133265067,0.366345928,0.263083783,0.296174607,1.314803979,0.778221075,0.276331188,0.065389116
"523","c-SC-s",0.969963592,0.326759709,1.2624461,0.29217233,2.541868932,1.400627205,0.139357115,0.369842233,0.282463592,0.327669903,1.328890631,0.83282767,0.285378283,0.05252842
"524","c-SC-s",0.973103657,0.316711998,1.270302312,0.243880326,2.484738592,1.389251136,0.152934203,0.367180417,0.280145059,0.371713509,1.317921359,0.770625567,0.303497333,0.057893697
"525","c-SC-s",0.918299752,0.331769252,1.223768334,0.256693348,2.239304444,1.311583302,0.142910869,0.331217223,0.248688932,0.353574386,1.286385859,0.737786365,0.296352012,0.052651373
"527","c-SC-s",1.060670619,0.406724713,1.31626506,0.391256021,3.912560207,1.28803349,0.189605881,0.299184883,0.312152649,0.277880697,1.303400041,0.914227492,0.409281193,0.132479069
"528","c-SC-s",1.126260704,0.421598478,1.282090968,0.407516651,4.052616556,1.255978831,0.179839233,0.300570885,0.324833492,0.284205519,1.369264566,0.94262607,0.40171751,0.129112786
"529","c-SC-s",0.866583823,0.367261636,1.272342116,0.361726164,3.514234071,1.377532106,0.180656693,0.299480343,0.287053773,0.256439223,1.329206938,0.839697244,0.375744737,0.127565206
"530","c-SC-s",0.900836868,0.375329588,1.250833933,0.365699874,3.495242462,1.302701289,0.178428936,0.289235355,0.29875043,0.25415568,1.288377265,0.860483779,0.372686245,0.122310158
"531","c-SC-s",0.931774349,0.397420444,1.219848687,0.378134041,3.783630665,1.272299574,0.176997902,0.286764706,0.298457088,0.270009643,1.283044059,0.878495661,0.350626232,0.122194672
"532","c-SC-s",0.783972622,0.357478968,1.229378626,0.342506773,3.194353344,1.367022618,0.162952998,0.280336518,0.282047626,0.25780693,1.212225679,0.824183659,0.323888001,0.108130833
"538","c-SC-s",0.534899557,0.255362615,1.101569187,0.255703098,2.270003405,1.462624822,0.164479315,0.214334355,0.211610487,0.228975145,1.340085592,0.647940075,0.32382311,0.126105563
"541","c-SC-s",0.745813463,0.313851614,1.355482226,0.250526783,3.659531995,1.070046498,0.341232938,0.337584562,0.264389487,0.194521459,1.216064197,0.678496174,0.387580621,0.715914204
"542","c-SC-s",0.742581931,0.311891054,1.395052302,0.249667848,3.69054473,1.095059937,0.362373063,0.343224092,0.268379097,0.19010186,1.251278919,0.669397697,0.393677942,0.721844697
"543","c-SC-s",0.710568074,0.337776367,1.439234896,0.244790014,3.567756268,1.081486665,0.361558199,0.316936422,0.248069396,0.185866921,1.210714563,0.640537396,0.391182645,0.7371122
"544","c-SC-s",0.686755431,0.313665032,1.327155895,0.25311843,3.545059566,1.110448873,0.47429689,0.336229853,0.269376314,0.199859846,1.127863662,0.744919411,0.542838517,1.030359471
"546","c-SC-s",0.651265412,0.290071382,1.392076372,0.230889033,3.357170668,1.106921241,0.469498807,0.308241402,0.24633355,0.204412719,1.167828162,0.675924724,0.554844869,1.076563246
"547","c-SC-s",0.628784199,0.301117047,1.229957332,0.256597054,3.080135988,1.034807995,0.473276443,0.318601263,0.26145378,0.191840699,1.107006512,0.691435972,0.482259151,1.086570851
"552","c-SC-s",0.546599496,0.260957179,1.247216036,0.20822838,2.582367758,1.014794782,0.602768056,0.324265323,0.245843829,0.183879093,1.160197264,0.569437448,0.625994273,1.156856507
"555","c-SC-s",0.491497644,0.256095062,1.185898709,0.205695554,2.111042819,0.830387289,0.530883813,0.348084409,0.259373079,0.17947142,1.200397219,0.569350543,0.52571996,1.129096326
"556","c-SC-s",0.508399964,0.402299883,2.142800828,0.313179409,5.749887701,1.256430472,0.309451069,0.491061001,0.361333214,0.265654478,1.34182517,0.800107807,0.514733419,0.417069084
"557","c-SC-s",0.499554208,0.390513552,2.063473945,0.304654066,5.703905136,1.200942928,0.307791563,0.499108417,0.385074893,0.224589872,1.413498759,0.80010699,0.512655087,0.399801489
"558","c-SC-s",0.490548365,0.387176431,2.170298507,0.295470027,5.446611035,1.182587065,0.310049751,0.458702316,0.352094687,0.21270436,1.39358209,0.766859673,0.519054726,0.407512438
"559","c-SC-s",0.468983473,0.616028979,2.340104725,0.288997057,5.502377179,1.295880386,0.300170336,0.53633688,0.347068146,0.216662893,1.384959939,0.744849445,0.45340988,0.396126427
"561","c-SC-s",0.468500444,0.384427684,2.255679259,0.289485359,5.367346939,1.268807517,0.323572945,0.494787045,0.357253771,0.219055013,1.372803913,0.741570541,0.447519145,0.383615419
"563","c-SC-s",0.444134488,0.38863603,2.180564214,0.304066951,5.303626487,1.238700125,0.277197631,0.535897812,0.358684481,0.228013508,1.338216958,0.71267068,0.415991272,0.360582918
"564","c-SC-s",0.462308598,0.39811543,2.179668843,0.297261484,5.403857479,1.182216208,0.282518707,0.549175501,0.371908127,0.229681979,1.296847636,0.726295642,0.428514568,0.378044897
"565","c-SC-s",0.487781596,0.403780069,2.256938937,0.311951126,4.991599847,1.213124504,0.245241872,0.605001909,0.374761359,0.252959145,1.266851705,0.695685376,0.380452022,0.349127676
"566","c-SC-s",0.464237517,0.407557355,2.191263867,0.308463466,5.106998265,1.191461965,0.25683439,0.590514748,0.384037016,0.268556005,1.250297147,0.732022364,0.384805864,0.338054675
"569","c-SC-s",0.451709402,0.452991453,2.230826232,0.299358974,4.849358974,1.076818575,0.240088922,0.612606838,0.378632479,0.252136752,1.271335062,0.710470085,0.355687292,0.320365567
"572","t-CS-m",0.335938245,0.550748118,1.265886569,1.072905747,2.289907557,1.831980292,0.187783439,0.223672925,0.314400076,0.786905556,0.914842394,0.705708568,0.45064666,0.180113096
"573","t-CS-m",0.344510127,0.529702491,1.268573633,1.120069774,2.311948832,1.809744268,0.189539242,0.229867235,0.317666441,0.757631553,0.882550705,0.742029266,0.432925485,0.173941799
"574","t-CS-m",0.298488665,0.43233341,1.547587623,0.885161438,2.257041447,1.795497874,0.196436428,0.29860316,0.278452027,0.631211358,0.966050741,0.582894436,0.381434228,0.175172313
"577","t-CS-m",0.299454197,0.428381767,1.653555364,0.893937159,2.179377489,1.811943727,0.184610968,0.370113586,0.276294439,0.636524561,0.953584075,0.546540788,0.334481769,0.155134463
"579","t-CS-m",0.31568568,0.474362864,1.639231431,0.836165049,2.274726942,1.739986617,0.184303604,0.386225728,0.281705097,0.609678398,0.914826498,0.567050971,0.351304847,0.150176847
"580","t-CS-m",0.305255448,0.428859183,1.822720126,0.822926204,1.985533785,1.664832285,0.183176101,0.4312397,0.264603552,0.566196667,1.007337526,0.482329244,0.330581761,0.15408805
"583","t-CS-m",0.316222655,0.412605588,1.922152732,0.686593026,1.867879575,1.657669519,0.184660961,0.444011263,0.273337665,0.617933723,1.004772877,0.499025341,0.319453588,0.143680053
"584","t-CS-m",0.285140562,0.42908476,1.892342932,0.725005284,1.859860495,1.65117801,0.178828534,0.42443458,0.257239484,0.594588882,0.999018325,0.491016698,0.29973822,0.135307592
